Time, Acceleration(m/s²), Acceleration(m/s²), Acceleration(m/s²)
0.0, 1.3028907, -2.1076174, -9.81
0.098, 1.456172, -2.069297, -9.77168
0.196, 1.5328126, -2.0309765, -9.656719
0.29300000000000004, 1.3028907, -2.0309765, -9.81
0.39, 1.1112891, -2.069297, -10.001602
0.488, 1.4178516, -2.1459377, -9.465117
0.585, 1.6094532, -1.7244141, -10.078242
0.6829999999999999, 1.456172, -2.069297, -9.541759
0.829, 1.6094532, -2.184258, -9.69504
0.9269999999999999, 1.2645704, -2.1076174, -9.848321
1.024, 1.6477735, -2.1076174, -9.426797
1.122, 1.5328126, -2.1459377, -9.8866415
1.219, 1.4944923, -2.069297, -10.001602
1.3170000000000002, 1.5711329, -2.1459377, -9.656719
1.4140000000000001, 1.5328126, -2.1459377, -9.656719
1.5120000000000002, 1.3795313, -2.0309765, -9.733359
1.6090000000000002, 1.5328126, -1.954336, -9.541759
1.7060000000000002, 1.5711329, -1.9926564, -9.77168
1.8050000000000002, 1.3795313, -2.069297, -9.580078
1.9020000000000001, 1.456172, -2.0309765, -10.039923
1.999, 1.6094532, -2.0309765, -9.541759
2.096, 1.456172, -1.9926564, -9.848321
2.194, 1.5328126, -2.0309765, -9.8866415
2.291, 1.5711329, -2.069297, -9.656719
2.4379999999999997, 1.4944923, -2.1459377, -9.618399
2.5349999999999997, 1.3795313, -2.1459377, -9.733359
2.6329999999999996, 1.456172, -2.1459377, -9.77168
2.7299999999999995, 1.6477735, -2.184258, -9.503438
2.8279999999999994, 1.4944923, -2.1459377, -9.656719
2.9249999999999994, 1.6094532, -2.1076174, -9.848321
3.0229999999999992, 1.456172, -2.1076174, -9.77168
3.119999999999999, 1.5711329, -2.069297, -9.8866415
3.217999999999999, 1.5328126, -2.069297, -9.69504
3.314999999999999, 1.6860938, -2.1076174, -9.541759
3.412999999999999, 1.4178516, -2.184258, -9.656719
3.509999999999999, 1.6094532, -2.1459377, -9.81
3.6079999999999988, 1.4178516, -2.1076174, -9.541759
3.7049999999999987, 1.22625, -1.8776954, -10.384805
3.8029999999999986, 5.4414845, 0.11496094, -10.078242
3.8999999999999986, 6.1695704, -0.613125, -10.308165
3.9979999999999984, 4.5601172, -5.249883, -9.005274
4.145999999999998, 3.67875, -8.277188, -8.315508
4.241999999999998, 2.3758595, -7.3575, -7.510782
4.338999999999999, 0.45984375, -7.3575, -7.6257424
4.435999999999999, -2.2608986, -7.434141, -7.7407036
4.533999999999999, -6.2845316, -7.3958206, -8.583751
4.631999999999999, -6.6294146, -6.1695704, -9.580078
4.728999999999999, -2.7973828, -2.1076174, -11.189531
4.874999999999999, 1.8776954, -1.1496094, -11.03625
4.9239999999999995, 2.3375392, -1.9926564, -11.840977
5.026999999999999, 8.047266, -4.253555, -12.070899
5.118999999999999, 8.4304695, -2.2225783, -7.7790236
5.215999999999999, 7.3575, -2.9889846, -10.2315235
5.313999999999999, 8.928633, -9.81, -6.3228517
5.416999999999999, 5.479805, -8.583751, -7.893985
5.508999999999999, 1.839375, -13.1438675, -6.09293
5.6549999999999985, -0.38320315, -11.189531, -4.3301954
5.752999999999998, -3.7170706, -8.54543, -8.008945
5.850999999999998, -5.863008, -8.54543, -9.273516
5.995999999999998, -7.9706254, -7.664063, -10.653048
6.044999999999998, -2.682422, -5.824688, -10.499766
6.142999999999998, 0.7664063, -1.954336, -10.078242
6.239999999999998, 9.848321, -7.3958206, -15.136524
6.337999999999998, 7.7407036, -4.751719, -10.921289
6.434999999999999, 9.043594, -2.1459377, -7.5874224
6.532999999999999, 8.085587, -4.253555, -8.890313
6.629999999999999, 5.5564456, -10.614727, -7.7790236
6.727999999999999, 3.295547, -12.262501, -6.706055
6.824999999999999, -0.19160157, -10.5764065, -4.5601172
6.922999999999999, -2.184258, -8.4304695, -4.5601172
7.068999999999999, -6.5144534, -7.7790236, -8.4304695
7.214999999999999, -7.165899, -7.31918, -9.158555
7.215999999999999, -3.2572267, -5.977969, -13.642032
7.313, 2.7590625, -5.479805, -12.147539
7.459, 6.821016, -5.977969, -16.286133
7.556, 6.05461, -1.5328126, -10.538086
7.654, 7.3958206, -1.5328126, -8.775352
7.751, 7.434141, -8.660391, -8.047266
7.849, 6.782696, -10.001602, -9.273516
7.946000000000001, 2.3758595, -10.154883, -6.935977
8.044, -0.3065625, -9.81, -6.1695704
8.141, -1.9926564, -8.698711, -7.664063
8.336, -7.7407036, -9.465117, -7.434141
8.337, -6.5144534, -8.928633, -11.457774
8.434, 1.3795313, -4.751719, -16.056211
8.532, 2.7973828, -4.9433208, -11.457774
8.629, 3.8320315, 0.2682422, -16.171173
8.725999999999999, 7.549102, -2.4908204, -11.304493
8.824, 11.074571, 0.15328126, -8.008945
8.922, 8.392149, -4.7133985, -10.844649
9.068000000000001, 5.1732426, -11.112891, -10.078242
9.165000000000001, 3.5637891, -10.269844, -6.8593364
9.263000000000002, -0.728086, -7.893985, -4.636758
9.360000000000001, -1.6477735, -8.737032, -6.5144534
9.507000000000001, -4.2152348, -8.008945, -9.081915
9.555000000000001, -6.591094, -7.549102, -9.733359
9.653000000000002, -2.5291407, -5.1732426, -12.262501
9.799000000000003, 2.4525, -3.5254688, -11.955938
9.847000000000003, 2.8357031, -4.4451566, -11.457774
9.945000000000004, 3.4871485, -1.9160157, -12.147539
10.043000000000005, 2.4525, -3.410508, -9.1202345
10.140000000000004, 2.0309765, -5.0199614, -10.154883
10.238000000000005, 0.34488282, -5.4031644, -7.8556643
10.335000000000004, -0.038320314, -3.8320315, -8.813672
10.433000000000005, -0.5748047, -4.176914, -8.238868
10.530000000000005, -0.9580079, -3.027305, -8.660391
10.627000000000004, -1.1112891, -3.6404297, -8.928633
10.774000000000004, -1.0729688, -4.368516, -8.890313
10.872000000000005, -0.8047266, -3.3338673, -9.005274
10.969000000000005, -0.42152345, -3.3338673, -9.235196
11.066000000000004, -0.728086, -2.9506643, -9.005274
11.164000000000005, -0.5364844, -3.180586, -9.196876
11.261000000000005, -0.38320315, -3.295547, -9.1202345
11.359000000000005, -0.5748047, -3.180586, -9.081915
11.457000000000006, -0.3065625, -2.9889846, -9.273516
11.554000000000006, -0.45984375, -2.8357031, -9.158555
11.651000000000005, -0.5748047, -3.410508, -9.235196
11.749000000000006, -0.34488282, -3.2572267, -9.1202345
11.846000000000005, -0.34488282, -3.3338673, -9.465117
11.944000000000006, -0.19160157, -3.3338673, -9.235196
12.041000000000006, -0.22992188, -2.9889846, -9.043594
12.139000000000006, -0.3065625, -3.3338673, -9.081915
12.236000000000006, -0.3065625, -3.2572267, -9.235196
12.334000000000007, -0.15328126, -3.2572267, -8.928633
12.481000000000007, -0.15328126, -3.410508, -9.196876
12.577000000000007, -0.34488282, -3.410508, -9.1202345
12.675000000000008, -0.2682422, -3.2572267, -9.005274
